time,x,y,z,gforce
0.607,0.149,0.941,0.328,1.008
0.609,0.146,0.938,0.326,1.004
0.612,0.142,0.938,0.325,1.003
0.615,0.138,0.937,0.325,1.002
0.616,0.135,0.936,0.328,1.001
0.618,0.134,0.937,0.330,1.003
0.621,0.133,0.940,0.336,1.007
0.624,0.133,0.939,0.343,1.009
0.625,0.133,0.940,0.348,1.011
0.628,0.134,0.940,0.354,1.014
0.632,0.138,0.940,0.361,1.017
0.633,0.143,0.943,0.370,1.023
0.635,0.145,0.945,0.380,1.029
0.637,0.149,0.946,0.387,1.033
0.640,0.153,0.947,0.393,1.037
0.642,0.156,0.948,0.399,1.040
0.645,0.158,0.950,0.404,1.044
0.649,0.161,0.951,0.407,1.047
0.650,0.161,0.951,0.407,1.047
0.652,0.158,0.950,0.406,1.045
0.655,0.156,0.948,0.404,1.042
0.657,0.153,0.945,0.399,1.037
0.659,0.150,0.944,0.392,1.033
0.665,0.147,0.942,0.385,1.028
0.665,0.143,0.941,0.378,1.024
0.666,0.139,0.939,0.372,1.019
0.669,0.134,0.936,0.366,1.013
0.672,0.130,0.934,0.355,1.008
0.674,0.128,0.935,0.345,1.005
0.676,0.127,0.937,0.337,1.004
0.681,0.125,0.939,0.329,1.002
0.681,0.123,0.940,0.320,1.000
0.684,0.121,0.941,0.311,0.998
0.686,0.119,0.940,0.303,0.995
0.688,0.120,0.941,0.299,0.995
0.690,0.122,0.943,0.296,0.996
0.693,0.123,0.944,0.295,0.996
0.701,0.120,0.942,0.295,0.995
0.702,0.120,0.942,0.296,0.994
0.702,0.120,0.943,0.299,0.996
0.703,0.118,0.942,0.303,0.997
0.705,0.118,0.942,0.306,0.997
0.707,0.118,0.942,0.310,0.998
0.710,0.117,0.942,0.315,1.000
0.722,0.118,0.944,0.320,1.004
0.722,0.120,0.945,0.325,1.007
0.722,0.123,0.948,0.331,1.012
0.722,0.125,0.952,0.335,1.017
0.723,0.128,0.954,0.338,1.020
0.736,0.131,0.956,0.341,1.023
0.737,0.133,0.958,0.344,1.026
0.737,0.137,0.959,0.347,1.029
0.737,0.143,0.960,0.351,1.032
0.737,0.145,0.963,0.356,1.036
0.737,0.149,0.963,0.359,1.039
0.740,0.154,0.964,0.360,1.041
0.741,0.156,0.964,0.362,1.042
0.743,0.157,0.965,0.361,1.042
0.748,0.153,0.965,0.358,1.041
0.749,0.150,0.963,0.357,1.038
0.750,0.147,0.961,0.354,1.034
0.753,0.145,0.958,0.350,1.030
0.756,0.143,0.955,0.343,1.025
0.758,0.139,0.953,0.333,1.019
0.760,0.134,0.951,0.323,1.013
0.764,0.128,0.949,0.317,1.009
0.766,0.125,0.946,0.311,1.004
0.768,0.119,0.944,0.303,0.999
0.770,0.113,0.940,0.297,0.993
0.773,0.105,0.936,0.293,0.987
0.775,0.097,0.934,0.289,0.983
0.778,0.092,0.932,0.288,0.980
0.780,0.087,0.929,0.287,0.976
0.783,0.084,0.929,0.286,0.975
0.785,0.081,0.928,0.287,0.975
0.787,0.080,0.925,0.289,0.973
0.789,0.078,0.923,0.290,0.971
0.792,0.078,0.924,0.291,0.972
0.795,0.079,0.925,0.296,0.975
0.799,0.084,0.925,0.302,0.977
0.800,0.089,0.928,0.307,0.981
0.802,0.095,0.933,0.314,0.989
0.805,0.103,0.938,0.321,0.997
0.806,0.108,0.942,0.327,1.003
0.809,0.113,0.944,0.330,1.007
0.812,0.119,0.946,0.332,1.009
0.818,0.125,0.946,0.338,1.012
0.819,0.127,0.946,0.343,1.014
0.819,0.128,0.945,0.347,1.015
0.822,0.127,0.944,0.348,1.014
0.823,0.126,0.942,0.347,1.012
0.826,0.127,0.940,0.344,1.009
0.828,0.124,0.937,0.340,1.005
0.831,0.120,0.937,0.336,1.002
0.834,0.117,0.936,0.331,1.000
0.835,0.113,0.935,0.328,0.997
0.837,0.109,0.934,0.324,0.994
0.840,0.107,0.931,0.319,0.990
0.842,0.105,0.930,0.314,0.987
0.845,0.104,0.927,0.308,0.982
0.847,0.103,0.923,0.301,0.977
0.850,0.102,0.921,0.296,0.973
0.852,0.099,0.921,0.291,0.971
0.855,0.098,0.922,0.288,0.971
0.857,0.098,0.922,0.283,0.970
0.859,0.098,0.924,0.280,0.971
0.866,0.099,0.926,0.278,0.972
0.866,0.100,0.928,0.275,0.973
